,CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,MONTHLY_AVERAGE_PURCHASE,LIMIT_USAGE,PAYMENTS_TO_MINIMUM_PAYMENT_RATIO,AVERAGE_AMOUNT_PER_PURCHASE,MONTHLY_CASH_ADVANCE,MONTHLY_INSTALLMENTS_PURCHASES,MONTHLY_ONEOFF_PURCHASES,MONTHLY_CASH_ADVANCE_TRANSACTION
4377,C14499,10571.41107,1,7739.48,259.170177,7739.48,2943.968756,1,0.323307402,1,0.203078171,2.436942048,44,8000,2688.447014,76406.20752,0.123248376,12,644.9566667,1.321426384,0.035186238,175.8972727,1208.060565,644.9566667,66.80179493,1208.058582
7133,C17325,9024.812044,1,721.0753509,415.5051679,305.5701829,2750.442399,0.773734177,0.188123192,0.691917819,0.083333,2,14.41031367,9000,302.484224,61031.6186,0.093922885,12,77.66183059,1.002756894,0.004956189,50.03883798,2750.453401,36.80232134,184.0572142,1375.2212
5658,C15815,4628.109931,1,912.54,307.9842133,912.54,523.7467596,1,0.33198347,1,0.181565128,4.059858981,21,5000,3746.305759,56370.04117,0.168455096,12,76.045,0.925621986,0.066459163,43.45428571,240.3851654,76.045,77.30912366,129.0061458
4463,C14586,4976.028578,1,900.87,1255.076657,900.87,2395.275748,1,0.32938786,1,0.253945117,4.656146293,162,5500,92.865469,50260.75947,0.233741105,12,75.0725,0.904732469,0.001847673,5.560925926,786.0214625,75.0725,317.5275537,514.4330948
5831,C15993,8038.893195,1,1953.545226,539.4599874,1414.085239,197.915586,0.944402428,0.45770189,0.858499603,0.166667,8,29.12587341,9000,3569.182969,43132.72823,0.089194321,12,172.3793065,0.893210355,0.082748834,67.07250282,98.95759508,137.2632394,98.21894977,24.73944825
5969,C16134,6022.224462,1,1914.727225,535.3474184,1379.379806,4111.465632,0.94577324,0.445298606,0.857312743,0.166667,6,28.92343455,7000,4560.77572,42629.55117,0.089387092,12,168.7091528,0.86031778,0.106986248,66.19985678,2055.728705,134.0797954,100.1850988,685.244272
568,C10591,3457.086184,1,2448.6,236.7195485,2448.6,4820.207776,1,0.083333,1,0.405172225,10.401206,12,1700,227.514473,38512.12477,0.107872579,12,204.05,2.033580108,0.005907606,204.05,991.3907144,204.05,236.7204954,463.4277772
5299,C15448,5044.179003,1,966.6,260.6500776,966.6,774.254505,1,0.343665486,1,0.083333,3,48,4500,3332.360525,31871.36379,0.086021117,12,80.55,1.120928667,0.104556571,20.1375,774.257602,80.55,63.20343671,258.084835
1131,C11170,6090.522273,1,22.16,22.16,1772.564552,5770.224952,0.083333,0.083333,0.591319854,0.469559715,13.48755569,1,9000,568.7811,30528.4324,0.099358344,12,22.16008864,0.676724697,0.018631192,22.16,1024.048835,249.8034045,22.16008864,427.8184337
6636,C16818,4972.108843,1,2072.57,45.65,2026.92,1370.800944,1,0.083333,1,0.278829045,12.67645238,37,4500,1497.318035,29019.80288,0.093075744,12,172.7141667,1.104913076,0.051596423,56.01540541,409.6897864,168.91,45.6501826,108.1375847
