""," Features ","BALANCE","PURCHASES","ONEOFF_PURCHASES","INSTALLMENTS_PURCHASES","CASH_ADVANCE","PURCHASES_FREQUENCY","ONEOFF_PURCHASES_FREQUENCY","PURCHASES_INSTALLMENTS_FREQUENCY","CASH_ADVANCE_FREQUENCY","CASH_ADVANCE_TRX","PAYMENTS","Kmeans_model.cluster"
"1","1",-0.735334817199689,-0.590263638921414,-0.461021309235098,-0.613059653907234,-0.49167141396874,-1.59914116259377,-0.797093162917164,-1.71143897868922,-0.233144209292764,-0.229270618263029,-0.550400835731313,2
"2","2",0.7855632023973,0.255441728554124,0.159987163646959,0.101657508638949,2.40693962663854,0.0798595504568066,0.106818106611927,-0.510007421454144,-0.0274936943575724,-0.296855551114465,0.79645207581364,4
"3","3",0.445301711399361,-0.272529568642339,-0.081347012021158,-0.0936031035207112,-0.623236552616402,1.04699106147981,2.6229854484777,-0.205388952610037,-0.644548379869581,-0.588177364526173,-0.405309517399685,3
"4","4",0.0467553042275394,0.0677347101405229,0.362223107958389,-0.0657685848372643,-0.614807383626449,-1.86375660775308,-1.01154135706252,-1.61779914396931,-0.991556326838602,-0.742625515678298,1.15545824330681,2
"5","5",-0.36164216131636,-0.62748583108123,-0.544069671245651,-0.571934729685486,-0.370264769056639,-1.86375660775308,-1.01154135706252,-1.71143897868922,0.445081702375651,0.050365670998202,-0.385883659927744,2
"6","6",0.115622754922088,-0.0099537241759093,-0.345815039489106,0.778183315215559,0.179049623184353,-0.0114611930776316,-0.582481659574278,-0.036944564789655,2.17145831281809,1.68849787844941,-0.136717472472846,4
"7","7",-0.453261420244154,2.68923182323388,3.35893548886756,0.0533856039775639,-0.139794481426965,1.04699106147981,2.6229854484777,1.35846856312293,-0.511162960745938,-0.441647772279304,1.57368001556274,3
"8","8",0.122272901596261,-0.430498864512531,-0.18983207181795,-0.23003738690474,-0.164711312083807,1.04699106147981,-0.787235048121656,1.35846856312293,0.27428820534502,0.00273163803113218,-0.385631526077097,3
"9","9",-0.266771617147414,-0.231125739781446,-0.149597030619612,-0.495500589563159,-0.409197429133499,-1.06991662299501,-1.01154135706252,-1.15327305772642,-0.675561151482538,-0.645217488872469,-0.382450680853204,2
"10","10",-0.681780888534554,-0.0341809646144395,0.229365353272645,-0.497830218575749,-0.294811769544402,-1.59914116259377,-0.681127306144481,-1.2779648795531,-0.410478329726358,-0.261626839295377,-0.217947541044635,2
