"","BALANCE","BALANCE_FREQUENCY","PURCHASES","ONEOFF_PURCHASES","INSTALLMENTS_PURCHASES","CASH_ADVANCE","PURCHASES_FREQUENCY","ONEOFF_PURCHASES_FREQUENCY","PURCHASES_INSTALLMENTS_FREQUENCY","CASH_ADVANCE_FREQUENCY","CASH_ADVANCE_TRX","PURCHASES_TRX","CREDIT_LIMIT","PAYMENTS","MINIMUM_PAYMENTS","PRC_FULL_PAYMENT","TENURE"
"BALANCE",1,0.31748498370508,0.272099484053764,0.221698715635139,0.227466326670272,0.519528390053561,0.0813238583890439,0.119244005572356,0.0691954145161536,0.327573016172326,0.321117339079532,0.277410910845188,0.531357547391303,0.32233930260917,0.400970845313203,-0.341385072009986,0.0728866869528475
"BALANCE_FREQUENCY",0.31748498370508,1,0.144887211494117,0.105110696646455,0.133143798221729,0.0998912594999345,0.334936821543114,0.225967693558333,0.230058508159188,0.19697921161925,0.158239822395825,0.21304229702749,0.088317123043215,0.0367035783581858,0.136008738990441,-0.227656911228277,0.131583123668954
"PURCHASES",0.272099484053764,0.144887211494117,1,0.91651355137127,0.688969284954578,0.147372203634754,0.305837167094398,0.444737327250547,0.234481772751387,0.0382953300350713,0.0878962274099464,0.662476519813762,0.386159178877077,0.648339502678492,0.121278656380916,0.12413731695911,0.0838364218507704
"ONEOFF_PURCHASES",0.221698715635139,0.105110696646455,0.91651355137127,1,0.379549079267391,0.116688949132896,0.188930892023372,0.453447401473125,0.0993572282400093,0.0118500801917878,0.0523030182821626,0.511353712748909,0.346146214138901,0.615274549030394,0.0643054775858373,0.141714813306791,0.0664629969139777
"INSTALLMENTS_PURCHASES",0.227466326670272,0.133143798221729,0.688969284954578,0.379549079267391,1,0.128490481435289,0.340013507156297,0.258121884510843,0.385605811522351,0.0532396332963795,0.104607123710456,0.589603478479467,0.30596980940459,0.434156723656228,0.178375029339934,0.110613983824709,0.0764806328725262
"CASH_ADVANCE",0.519528390053561,0.0998912594999345,0.147372203634754,0.116688949132896,0.128490481435289,1,0.00543959098414469,0.0398728755097867,0.00188060326278874,0.48141426371168,0.564549005254763,0.128202623941748,0.406089860734495,0.547507158495006,0.17448537160837,-0.181473703134221,-0.0467793095382953
"PURCHASES_FREQUENCY",0.0813238583890439,0.334936821543114,0.305837167094398,0.188930892023372,0.340013507156297,0.00543959098414469,1,0.47681560272556,0.824730223170527,0.00330828688455173,0.0404198369406681,0.506498914179626,0.0920868981184875,0.103471722549891,0.0572099843420702,0.152649166284033,-0.0348439834257082
"ONEOFF_PURCHASES_FREQUENCY",0.119244005572356,0.225967693558333,0.444737327250547,0.453447401473125,0.258121884510843,0.0398728755097867,0.47681560272556,1,0.223827190688294,0.0350276410962341,0.078952872296858,0.501202596006777,0.282872199957896,0.267328021574188,-0.0134860409666284,0.25368934594153,0.00592672720268892
"PURCHASES_INSTALLMENTS_FREQUENCY",0.0691954145161536,0.230058508159188,0.234481772751387,0.0993572282400093,0.385605811522351,0.00188060326278874,0.824730223170527,0.223827190688294,1,-0.00321613982825982,0.0349208733132635,0.451855750236352,0.0479521246424703,0.0765902447081527,0.0846584850786763,0.110231424046847,-0.0633507866590737
"CASH_ADVANCE_FREQUENCY",0.327573016172326,0.19697921161925,0.0382953300350713,0.0118500801917878,0.0532396332963795,0.48141426371168,0.00330828688455173,0.0350276410962341,-0.00321613982825982,1,0.744688545337411,0.0375189281229841,0.121916078998231,0.17925086527608,0.0715675697498711,-0.192523607666515,-0.227886579254674
