CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,MONTHLY_AVERAGE_PURCHASE,LIMIT_USAGE,PAYMENTS_TO_MINIMUM_PAYMENT_RATIO,AVERAGE_AMOUNT_PER_PURCHASE,MONTHLY_CASH_ADVANCE,MONTHLY_INSTALLMENTS_PURCHASES,MONTHLY_ONEOFF_PURCHASES,MONTHLY_CASH_ADVANCE_TRANSACTION
C10001,40.900749,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0,2,1000.0,201.802084,139.50978700000002,0.0,12,47.6999046001908,0.040900749,1.4465084374331385,47.7,350.52585087688766,95.4003816015264,132.6213775489032,254.79644259747585
C10005,817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,1200.0,678.334763,244.79123700000002,0.0,12,16.000064000256,0.6814286125,2.7710745340120155,16.0,350.52585087688766,47.7544350268379,16.000064000256,254.79644259747585
C10008,1823.6527429999999,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0,12,2300.0,679.0650820000001,532.03399,0.0,12,36.35,0.7928924969565216,1.2763565763909184,36.35,350.52585087688766,36.35,132.6213775489032,254.79644259747585
C10009,1014.9264730000001,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0,5,7000.0,688.278568,311.963409,0.0,12,215.3727153727154,0.14498949614285717,2.206279801231432,172.298,350.52585087688766,66.66666666666667,661.4926459705838,254.79644259747585
C10015,2772.772734,1.0,0.0,0.0,0.0,346.81139,0.0,0.0,0.0,0.083333,1,0,3000.0,805.647974,989.962866,0.0,12,77.08770577942487,0.9242575780000001,0.8138163578349816,inf,346.81277725110897,47.7544350268379,132.6213775489032,346.81139
C10026,169.781679,1.0,399.6,0.0,399.6,0.0,1.0,0.0,1.0,0.0,0,12,3000.0,215.306142,163.005536,0.0,12,33.300000000000004,0.056593893,1.3208517163490692,33.300000000000004,350.52585087688766,33.300000000000004,132.6213775489032,254.79644259747585
C10027,1615.96724,1.0,102.0,102.0,0.0,244.840485,0.166667,0.166667,0.0,0.25,5,2,1700.0,890.1788449999999,971.183209,0.0,12,50.999898000204,0.9505689647058824,0.9165920876212347,51.0,81.613495,47.7544350268379,50.999898000204,48.968097
C10028,125.69481699999999,1.0,233.28,0.0,233.28,0.0,1.0,0.0,1.0,0.0,0,12,1000.0,207.77371499999998,164.748819,0.0,12,19.44,0.125694817,1.2611545033290952,19.44,350.52585087688766,19.44,132.6213775489032,254.79644259747585
C10030,22.063489999999998,1.0,100.0,0.0,100.0,0.0,0.416667,0.0,0.416667,0.0,0,5,6900.0,160.767773,159.684442,0.0,12,19.999984000012798,0.003197607246376811,1.0067841988012833,20.0,350.52585087688766,19.999984000012798,132.6213775489032,254.79644259747585
C10036,1656.350781,1.0,0.0,0.0,0.0,99.26436700000001,0.0,0.0,0.0,0.083333,1,0,1800.0,351.500199,634.5693110000001,0.0,12,77.08770577942487,0.9201948783333334,0.5539193164669131,inf,99.26476405905623,47.7544350268379,132.6213775489032,99.26436700000001
C10044,4104.710798,1.0,203.82,203.82,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,4500.0,868.275275,1801.264841,0.0,12,203.8208152832611,0.9121579551111111,0.4820364308659706,203.82,350.52585087688766,47.7544350268379,203.8208152832611,254.79644259747585
C10045,1360.742377,1.0,0.0,0.0,0.0,1481.5870929999999,0.0,0.0,0.0,0.083333,1,0,1500.0,378.294227,321.35413700000004,0.0,12,77.08770577942487,0.9071615846666667,1.1771879787562838,inf,1481.5930193720772,47.7544350268379,132.6213775489032,1481.5870929999999
C10047,2242.311686,1.0,437.0,97.0,340.0,184.64869199999998,0.333333,0.083333,0.333333,0.166667,2,5,2400.0,0.0,864.2065423050814,0.0,12,109.25010925010925,0.9342965358333334,0.0,87.4,92.32416135167728,85.00008500008501,97.000388001552,92.32434599999999
C10051,863.809833,1.0,507.5,507.5,0.0,695.097159,0.166667,0.166667,0.0,0.083333,2,3,4000.0,587.866451,286.448719,0.083333,12,253.74949250101497,0.21595245825,2.0522572174602742,169.16666666666666,695.0999393997575,47.7544350268379,253.74949250101497,347.5485795
C10054,1565.6810990000001,1.0,0.0,0.0,0.0,321.35913500000004,0.0,0.0,0.0,0.25,3,0,3500.0,691.825279,581.481917,0.0,12,77.08770577942487,0.4473374568571429,1.1897623275531715,inf,107.11971166666667,47.7544350268379,132.6213775489032,107.11971166666667
C10056,6.660517,0.636364,310.0,0.0,310.0,0.0,0.666667,0.0,0.666667,0.0,0,8,1000.0,417.01676299999997,864.2065423050814,0.0,12,38.749980625009684,0.0066605169999999995,0.4825429368860125,38.75,350.52585087688766,38.749980625009684,132.6213775489032,254.79644259747585
