""," Features ","ML1","ML2","ML3","ML4","ML6","ML5"
"1","BALANCE",0.570105519147137,0.574758066864155,-0.0334356109164683,0.581525632666609,-0.0103265710342085,-0.0154156050547526
"2","BALANCE_FREQUENCY",0.307782418656709,0.152855864132803,0.278644301409268,0.105730850979552,-0.143933117447138,-0.0585004769214531
"3","PURCHASES",0.891565308628923,-0.292495535363063,-0.218248743833588,-0.12395980911991,-0.0104810284253897,0.218445298513978
"4","ONEOFF_PURCHASES",0.849658618989818,-0.313385507122038,-0.356344969020137,-0.166284516559155,-0.000501473323302141,-0.142275168257587
"5","INSTALLMENTS_PURCHASES",0.559906499425603,-0.136067760634219,0.0819262901233393,0.00144483861496144,-0.0135312738371453,0.76861188897254
"6","CASH_ADVANCE",0.343318480939379,0.522057570807677,-0.00500424185692931,0.0532510815771302,0.672248283768757,0.0258057629108813
"7","PURCHASES_FREQUENCY",0.463206137558661,-0.289440063145479,0.833732264039539,0.0188658106950934,0.00230418372075275,-0.0347221756405676
"8","ONEOFF_PURCHASES_FREQUENCY",0.507530918814189,-0.212177926364132,0.211433355432381,-0.0737349738634179,-0.000307375370235872,-0.118327650649478
"9","PURCHASES_INSTALLMENTS_FREQUENCY",0.353772459675151,-0.226545311870008,0.716502013486705,0.0395741805045548,-0.00170923819286957,0.097587628750314
"10","CASH_ADVANCE_FREQUENCY",0.274459949366747,0.807921906719953,0.143131575459709,-0.496314345231184,-0.0107777512740203,-0.00219318100713393
"11","CASH_ADVANCE_TRX",0.279497873621536,0.614573549517898,0.114671118109869,-0.317295934535597,0.232309761449475,0.0326290738304121
"12","PURCHASES_TRX",0.661595634776495,-0.189869147205628,0.184734084414076,0.0333199981253135,-0.0169332809879495,0.255217702226778
"13","CREDIT_LIMIT",0.488474793496128,0.169318455314616,-0.105816387670733,0.265579315348983,0.205627750687521,0.0702709121887706
"14","PAYMENTS",0.638329191512645,0.0041166608055587,-0.223436227494762,-0.0764535802019329,0.482742564510254,0.12856746983983
"15","MINIMUM_PAYMENTS",0.220142113656856,0.189544025333302,0.00962779976975401,0.2884974312377,-0.0262943101872403,0.0931465440947254
"16","PRC_FULL_PAYMENT",0.00619060332732107,-0.379820460692739,0.0531115082892721,-0.212834993831646,0.0767104906227243,0.0205502625177719
"17","TENURE",0.0364727825562915,-0.136420293133979,-0.111898704998696,0.221593235314743,0.042954976205522,0.0674815821373267
